wordAmount,threadAmount,microSeconds
1000,1,973
1000,1,798
1000,1,625
1000,1,648
1000,1,606
1000,1,570
1000,1,657
1000,1,631
1000,1,612
1000,1,725
1000,1,758
1000,1,682
1000,1,629
1000,1,657
1000,1,711
1000,2,812
1000,2,704
1000,2,762
1000,2,693
1000,2,667
1000,2,657
1000,2,725
1000,2,634
1000,2,824
1000,2,618
1000,2,658
1000,2,823
1000,2,684
1000,2,636
1000,2,590
1000,3,706
1000,3,700
1000,3,820
1000,3,689
1000,3,695
1000,3,656
1000,3,686
1000,3,684
1000,3,634
1000,3,685
1000,3,699
1000,3,791
1000,3,804
1000,3,886
1000,3,703
1000,4,726
1000,4,746
1000,4,698
1000,4,1120
1000,4,732
1000,4,871
1000,4,950
1000,4,807
1000,4,909
1000,4,826
1000,4,1070
1000,4,1033
1000,4,843
1000,4,838
1000,4,898
1000,5,1049
1000,5,1049
1000,5,888
1000,5,943
1000,5,745
1000,5,861
1000,5,1029
1000,5,1193
1000,5,948
1000,5,838
1000,5,1004
1000,5,1253
1000,5,1202
1000,5,865
1000,5,759
1000,6,822
1000,6,883
1000,6,827
1000,6,1297
1000,6,2208
1000,6,1437
1000,6,1702
1000,6,1168
1000,6,1404
1000,6,771
1000,6,789
1000,6,1169
1000,6,1211
1000,6,841
1000,6,1271
1000,7,1365
1000,7,1398
1000,7,841
1000,7,887
1000,7,810
1000,7,1180
1000,7,1292
1000,7,804
1000,7,828
1000,7,887
1000,7,793
1000,7,1157
1000,7,831
1000,7,836
1000,7,1193
1000,8,1344
1000,8,850
1000,8,975
1000,8,1519
1000,8,910
1000,8,903
1000,8,953
1000,8,4822
1000,8,1286
1000,8,977
1000,8,1078
1000,8,1150
1000,8,1013
1000,8,1201
1000,8,2080
1000,9,1799
1000,9,1121
1000,9,1126
1000,9,1198
1000,9,1403
1000,9,974
1000,9,1130
1000,9,1022
1000,9,1342
1000,9,2273
1000,9,1241
1000,9,982
1000,9,986
1000,9,3028
1000,9,787
1000,10,1796
1000,10,1592
1000,10,956
1000,10,1002
1000,10,944
1000,10,1411
1000,10,1179
1000,10,1608
1000,10,1138
1000,10,1528
1000,10,1395
1000,10,1580
1000,10,1096
1000,10,1420
1000,10,1663
1000,11,1636
1000,11,1170
1000,11,1985
1000,11,1682
1000,11,1014
1000,11,1040
1000,11,1078
1000,11,1045
1000,11,974
1000,11,953
1000,11,1073
1000,11,991
1000,11,971
1000,11,950
1000,11,1044
1000,12,998
1000,12,1156
1000,12,1049
1000,12,997
1000,12,1062
1000,12,1030
1000,12,1109
1000,12,1014
1000,12,1500
1000,12,1317
1000,12,1076
1000,12,1159
1000,12,1586
1000,12,1502
1000,12,1699
1000,13,5755
1000,13,1397
1000,13,1763
1000,13,1701
1000,13,1730
1000,13,1043
1000,13,1056
1000,13,1058
1000,13,1132
1000,13,1613
1000,13,2701
1000,13,1063
1000,13,1129
1000,13,1040
1000,13,1131
1000,14,1115
1000,14,1111
1000,14,1099
1000,14,4120
1000,14,1079
1000,14,1224
1000,14,1159
1000,14,1428
1000,14,1355
1000,14,1287
1000,14,1662
1000,14,1095
1000,14,1081
1000,14,1201
1000,14,1367
1000,15,1506
1000,15,1390
1000,15,1545
1000,15,1403
1000,15,1133
1000,15,1135
1000,15,1193
1000,15,1193
1000,15,1323
1000,15,1542
1000,15,1354
1000,15,2198
1000,15,1663
1000,15,1286
1000,15,2032
1000,16,1251
1000,16,1213
1000,16,1203
1000,16,1251
1000,16,1453
1000,16,2261
1000,16,1882
1000,16,1314
1000,16,1224
1000,16,1237
1000,16,1402
1000,16,1640
1000,16,1401
1000,16,1844
1000,16,7217
1000,17,2346
1000,17,1968
1000,17,2557
