wordAmount,threadAmount,milliSeconds
10000000,1,1196
10000000,1,1214
10000000,1,1197
10000000,1,1181
10000000,1,1183
10000000,1,1200
10000000,1,1193
10000000,1,1222
10000000,1,1356
10000000,1,1239
10000000,1,1329
10000000,1,1182
10000000,1,1281
10000000,1,1199
10000000,1,1191
10000000,1,1176
10000000,1,1191
10000000,1,1228
10000000,1,1185
10000000,1,1180
10000000,1,1196
10000000,1,1196
10000000,1,1187
10000000,1,1189
10000000,1,1184
10000000,1,1188
10000000,1,1179
10000000,1,1301
10000000,1,1196
10000000,1,1183
10000000,2,614
10000000,2,618
10000000,2,698
10000000,2,633
10000000,2,644
10000000,2,637
10000000,2,734
10000000,2,759
10000000,2,737
10000000,2,684
10000000,2,606
10000000,2,731
10000000,2,625
10000000,2,779
10000000,2,621
10000000,2,716
10000000,2,682
10000000,2,795
10000000,2,674
10000000,2,704
10000000,2,680
10000000,2,665
10000000,2,761
10000000,2,671
10000000,2,731
10000000,2,729
10000000,2,716
10000000,2,631
10000000,2,723
10000000,2,694
10000000,3,502
10000000,3,489
10000000,3,533
10000000,3,487
10000000,3,477
10000000,3,490
10000000,3,490
10000000,3,497
10000000,3,513
10000000,3,505
10000000,3,490
10000000,3,482
10000000,3,518
10000000,3,480
10000000,3,472
10000000,3,485
10000000,3,498
10000000,3,472
10000000,3,483
10000000,3,477
10000000,3,534
10000000,3,479
10000000,3,545
10000000,3,481
10000000,3,480
10000000,3,535
10000000,3,510
10000000,3,469
10000000,3,485
10000000,3,524
10000000,4,397
10000000,4,398
10000000,4,386
10000000,4,402
10000000,4,406
10000000,4,400
10000000,4,395
10000000,4,381
10000000,4,380
10000000,4,399
10000000,4,396
10000000,4,387
10000000,4,400
10000000,4,378
10000000,4,395
10000000,4,396
10000000,4,408
10000000,4,390
10000000,4,393
10000000,4,398
10000000,4,390
10000000,4,395
10000000,4,383
10000000,4,401
10000000,4,387
10000000,4,398
10000000,4,384
10000000,4,386
10000000,4,402
10000000,4,410
10000000,5,330
10000000,5,326
10000000,5,324
10000000,5,344
10000000,5,341
